SN,name,parameters,test_acc,test_prec,test_rec
0,KL_baseline_0,7850,0.8393999934196472,0.838951051235199,0.8404178619384766
1,KL_128_sigmoid,101770,0.8605999946594238,0.8628398180007935,0.8619211912155151
2,KL_128_tanh,101770,0.8762999773025513,0.8798382878303528,0.8774574398994446
3,KL_128_hardtanh,101770,0.8805999755859375,0.8850836157798767,0.8817545771598816
4,KL_128_mish,101770,0.8776999711990356,0.8832458257675171,0.8790910243988037
5,KL_128_leakyrelu,101770,0.8776999711990356,0.8833891749382019,0.8793671131134033
6,KL_128_relu,101770,0.8784999847412109,0.8840229511260986,0.8801997303962708
7,KL_115_ReLU_115_ReLU,104775,0.880299985408783,0.886436939239502,0.8805086016654968
8,KL_125_ReLU_27_ReLU,101807,0.8794999718666077,0.8839827179908752,0.8816545009613037
9,KL_512_relu,407050,0.8826000094413757,0.8871477246284485,0.8844662308692932
10,KL_350_ReLU_350_ReLU,401110,0.8855999708175659,0.8900282979011536,0.8864099383354187
11,KL_400_ReLU_128_ReLU,366618,0.8842999935150146,0.887692391872406,0.8849470019340515
12,KL_5_ReLU,3985,0.8263000249862671,0.8268563747406006,0.8265503644943237
13,KL_512_ReLU-16_ReLU,577178,0.8828999996185303,0.8878319263458252,0.8842452168464661
14,KL_256_ReLU_64_ReLU_128_ReLU,227018,0.8830999732017517,0.8860278129577637,0.8836129903793335
15,KL_512_ReLU_256_ReLU_64_ReLU_256_ReLU,569016,0.8842999935150146,0.8886004090309143,0.8864139914512634
16,KL_conv_baseline,44374,0.8899000287055969,0.8933004140853882,0.8912615180015564
